user_id,request_id,content_id,city,total_time,network_delay,processing_time,content_size,timestamp
0,0,content_62,"Miami, FL",0.09721899032592773,0.019674117073550667,0.0005747487991791512,50163,2025-05-24T22:14:50.858187
0,1,content_36,"Miami, FL",0.02208089828491211,0.018290969982312815,0.000762895203184764,2615,2025-05-24T22:14:51.249895
0,2,content_47,"Miami, FL",0.022339344024658203,0.019436096054815794,0.00033163699315549215,29287,2025-05-24T22:14:52.222299
0,3,content_23,"Miami, FL",0.024471521377563477,0.018278388794144337,0.00015090964028319844,90914,2025-05-24T22:14:52.908299
0,4,content_35,"Miami, FL",0.03299832344055176,0.017453361129818885,0.00044944546500034365,4186,2025-05-24T22:14:53.713947
0,5,content_97,"Miami, FL",0.021152496337890625,0.01735640245077618,0.0005044814794618906,89952,2025-05-24T22:14:53.999994
0,6,content_9,"Miami, FL",0.0221860408782959,0.017463507083117107,0.00030535649041688083,66697,2025-05-24T22:14:54.816859
0,7,content_3,"Miami, FL",0.02155303955078125,0.018240311658722867,0.00026021418709144275,39974,2025-05-24T22:14:55.671416
0,8,content_41,"Miami, FL",0.02004861831665039,0.01608438203768213,0.0004714940953228508,13547,2025-05-24T22:14:55.882269
0,9,content_98,"Miami, FL",0.02397775650024414,0.019213584207298025,0.000982576470645314,67961,2025-05-24T22:14:56.507215
1,0,content_36,"Philadelphia, PA",0.060039520263671875,0.010444139986155078,0.00025499573909243655,2615,2025-05-24T22:14:50.836396
1,1,content_30,"Philadelphia, PA",0.013602495193481445,0.009434747507277783,0.000881423291575207,25089,2025-05-24T22:14:51.333817
1,2,content_91,"Philadelphia, PA",0.013175010681152344,0.010049976499018945,0.0003205782909963647,14196,2025-05-24T22:14:51.837741
1,3,content_66,"Philadelphia, PA",0.013049602508544922,0.009936044388285504,0.0003216297225082433,79446,2025-05-24T22:14:52.395290
1,4,content_9,"Philadelphia, PA",0.013115167617797852,0.00942883081835746,0.0001470840072922473,66697,2025-05-24T22:14:52.945693
1,5,content_58,"Philadelphia, PA",0.01324009895324707,0.009724217079500896,0.0006553575973908596,20293,2025-05-24T22:14:53.800453
1,6,content_73,"Philadelphia, PA",0.013729333877563477,0.009103095111614355,0.0004209748863740349,51746,2025-05-24T22:14:54.696226
1,7,content_54,"Philadelphia, PA",0.01600337028503418,0.012056230596637277,0.0003403498032797734,64024,2025-05-24T22:14:54.907216
1,8,content_36,"Philadelphia, PA",0.013731718063354492,0.010307936964637311,0.000225731266859657,2615,2025-05-24T22:14:55.138596
1,9,content_8,"Philadelphia, PA",0.01280355453491211,0.009060510751210915,0.0005131767470819637,95747,2025-05-24T22:14:55.509529
2,0,content_37,"Chicago, IL",0.08367705345153809,0.01268844707810556,0.0008715265256331149,66030,2025-05-24T22:14:50.873363
2,1,content_74,"Chicago, IL",0.018347740173339844,0.015032767392155241,0.0001900964653238024,54145,2025-05-24T22:14:51.657249
2,2,content_43,"Chicago, IL",0.024035215377807617,0.014474194490861207,0.0005072903250741385,44187,2025-05-24T22:14:52.238854
2,3,content_35,"Chicago, IL",0.015888214111328125,0.012645009153348787,0.00022669159255598844,4186,2025-05-24T22:14:52.719407
2,4,content_28,"Chicago, IL",0.019539356231689453,0.01537799688194226,0.0007882125393773581,96042,2025-05-24T22:14:52.888274
2,5,content_19,"Chicago, IL",0.01796698570251465,0.014210086732142368,0.0004369529340109107,13051,2025-05-24T22:14:53.694483
2,6,content_28,"Chicago, IL",0.01802802085876465,0.014644902697026905,0.00025752708315783334,96042,2025-05-24T22:14:54.119324
2,7,content_72,"Chicago, IL",0.016069412231445312,0.01248683924276269,0.0004587691157599184,23495,2025-05-24T22:14:54.599115
2,8,content_4,"Chicago, IL",0.017178058624267578,0.013279362526540862,0.0007889430080392573,20216,2025-05-24T22:14:54.977644
2,9,content_31,"Chicago, IL",0.01860523223876953,0.01440188269780953,0.0009177726548156073,60970,2025-05-24T22:14:55.903078
3,0,content_93,"Dallas, TX",0.10972905158996582,0.02089801848815781,0.0004904769276528229,87389,2025-05-24T22:14:50.913398
3,1,content_48,"Dallas, TX",0.023778676986694336,0.020098016531529563,0.0003305816049389444,18880,2025-05-24T22:14:51.122545
3,2,content_85,"Dallas, TX",0.02243971824645996,0.01829697694657855,0.0007850828318057164,31955,2025-05-24T22:14:51.533605
3,3,content_43,"Dallas, TX",0.02451944351196289,0.020264143287537305,0.0009028614733009999,44187,2025-05-24T22:14:52.134444
3,4,content_12,"Dallas, TX",0.023578166961669922,0.01995191293560408,0.00026054636622951173,94723,2025-05-24T22:14:52.743253
3,5,content_27,"Dallas, TX",0.022110939025878906,0.017458123051367406,0.0009844394677027072,82297,2025-05-24T22:14:53.342650
3,6,content_33,"Dallas, TX",0.022417545318603516,0.018305477293857973,0.0003475982698698725,17213,2025-05-24T22:14:53.603191
3,7,content_80,"Dallas, TX",0.021503448486328125,0.018229933264246517,0.00013026924616390713,73766,2025-05-24T22:14:54.186086
3,8,content_77,"Dallas, TX",0.026091814041137695,0.0206382004085396,0.00028585800158751647,2112,2025-05-24T22:14:54.362621
3,9,content_8,"Dallas, TX",0.021750211715698242,0.01784001396444651,0.0004101070079464561,95747,2025-05-24T22:14:55.375386
4,0,content_81,"Chicago, IL",0.07244133949279785,0.015212322647699379,0.00021558995077164015,6688,2025-05-24T22:14:50.889939
4,1,content_17,"Chicago, IL",0.017785310745239258,0.014279177014418748,0.0005564493479167356,51714,2025-05-24T22:14:51.861668
4,2,content_98,"Chicago, IL",0.01851820945739746,0.015276856463361346,0.0002663998033194556,67961,2025-05-24T22:14:52.070639
4,3,content_70,"Chicago, IL",0.01806473731994629,0.014384006874834316,0.0007454069075776968,25975,2025-05-24T22:14:52.194781
4,4,content_9,"Chicago, IL",0.017568349838256836,0.014039298912698424,0.0005629875321815682,66697,2025-05-24T22:14:52.512159
4,5,content_54,"Chicago, IL",0.017941951751708984,0.013978018919207143,0.00023830905035633843,64024,2025-05-24T22:14:53.199151
4,6,content_57,"Chicago, IL",0.019495725631713867,0.015603980337749339,0.0007264232056983571,3348,2025-05-24T22:14:53.559514
4,7,content_34,"Chicago, IL",0.019055604934692383,0.015827443324881126,0.00037854225163503903,14464,2025-05-24T22:14:54.340469
4,8,content_12,"Chicago, IL",0.016715526580810547,0.013078552000644356,0.00045764895820830226,94723,2025-05-24T22:14:55.060666
4,9,content_73,"Chicago, IL",0.01936817169189453,0.01609591410057326,0.0002617808459831132,51746,2025-05-24T22:14:55.310349
